from_id,to_id,isInfluential,intents,contexts
162e2e9ac70702c146c0aa8432e4a6806bb8c42e,cb5e3f085caefd1f3d5e08637ab55d39e61234fc,True,background,"Recently, there has been increasing interest in using LLMs to find a sequence of executable actions for robots, aiming to achieve high-level goals expressed in natural language, such as SayCan (Ahn et al., 2022) and Innermonologue (Huang et al.,The baseline for this dataset follows the method in SayCan’s open-source virtual tabletop environment, where GPT-3 is used as the large language model to directly find the sequence of actions from Si to Sg.,We based our work on SayCan’s open-source virtual tabletop environment6, where a robot is tasked with achieving a goal, such as ""stack the blocks,"" on a table with colored blocks and bowls.,Recently, there has been increasing interest in using LLMs to find a sequence of executable actions for robots, aiming to achieve high-level goals expressed in natural language, such as SayCan (Ahn et al., 2022) and Innermonologue (Huang et al.,
2022).,Similarly, LLMs gained attention for plan generation for robots due to the rich semantic knowledge they acquired about the world (Ahn et al., 2022; Huang et al., 2022; Zeng et al., 2022).,We noticed that the successful plans demonstrated by SayCan are restricted to simple one-step look-ahead plans that do not take into account intermediate state changes."
38fe8f324d2162e63a967a9ac6648974fc4c66f3,0e34addae55a571d7efd3a5e2543e86dd7d41a83,True,"background,methodology","Prior works focus on combining vision and language inputs in an embodied setting with the goal of direct action prediction (Guhur et al., 2022; Shridhar et al., 2022b;a; Zhang & Chai, 2021; Silva et al., 2021; Jang et al., 2022; Nair et al., 2022; Lynch et al., 2022; Brohan et al., 2022).,2 reports success rates on long-horizon tasks from the Language-Table environment (Lynch et al., 2022).,Given the observed image and a long-horizon goal, e.g. “sort the blocks by colors into corners”, PaLM-E outputs language subgoals at 1 Hz to the policies from Lynch et al. (2022), that output low-level robot actions at 5 Hz.,Interactive Language Table
We use the Language-Table real-world tabletop setup and simulated environment from Interactive Language (Lynch et al., 2022).,The multi-object tabletop pushing environment is taken from the publicly available Language-Table dataset (Lynch et al., 2022) and is challenging since it includes several objects, large cardinality of language, and complex pushing dynamics.,Prior work (Lynch et al., 2022) instead involved a human in the loop to interactively guide subgoals and corrections.,We pass the short horizon instructions to an Interactive Language policy trained using the same procedure as in Lynch et al. (2022).,While many works focus on understanding natural language goals (Lynch & Sermanet, 2020; Shridhar et al., 2022a; Nair et al., 2022; Lynch et al., 2022), fewer consider natural language as a representation for planning – the focus of this work."
38fe8f324d2162e63a967a9ac6648974fc4c66f3,c305ab1bdba79442bec72ec7f5c5ee7c49c2a566,True,"background,methodology","…LLM’s generation and an eligible set of instructions (Huang et al., 2022b), incorporating affordance functions (Ahn et al., 2022), visual feedback (Huang et al., 2022c), generating world models (Nottingham et al., 2023; Zellers et al., 2021a), planning over graphs and maps (Shah et al., 2022;…,For a robot to do closed-loop planning, it is also important to detect failures, as is shown in (Huang
et al., 2022c).,…(Huang et al., 2022c), generating world models (Nottingham et al., 2023; Zellers et al., 2021a), planning over graphs and maps (Shah et al., 2022; Huang et al., 2022a), visual explanations (Wang et al., 2023), program generation (Liang et al., 2022; Singh et al., 2022), or injecting information…,…of instructions directly from an LLM either by leveraging semantic similarity between an LLM’s generation and an eligible set of instructions (Huang et al., 2022b), incorporating affordance functions (Ahn et al., 2022), visual feedback (Huang et al., 2022c), generating world models…"
38fe8f324d2162e63a967a9ac6648974fc4c66f3,f3cf71c51b882fe3111d71c4bf104297d38197f8,True,"background,methodology","…LLM’s generation and an eligible set of instructions (Huang et al., 2022b), incorporating affordance functions (Ahn et al., 2022), visual feedback (Huang et al., 2022c), generating world models (Nottingham et al., 2023; Zellers et al., 2021a), planning over graphs and maps (Shah et al., 2022;…,For a robot to do closed-loop planning, it is also important to detect failures, as is shown in (Huang
et al., 2022c).,…(Huang et al., 2022c), generating world models (Nottingham et al., 2023; Zellers et al., 2021a), planning over graphs and maps (Shah et al., 2022; Huang et al., 2022a), visual explanations (Wang et al., 2023), program generation (Liang et al., 2022; Singh et al., 2022), or injecting information…,…of instructions directly from an LLM either by leveraging semantic similarity between an LLM’s generation and an eligible set of instructions (Huang et al., 2022b), incorporating affordance functions (Ahn et al., 2022), visual feedback (Huang et al., 2022c), generating world models…"
38fe8f324d2162e63a967a9ac6648974fc4c66f3,cb5e3f085caefd1f3d5e08637ab55d39e61234fc,True,"background,methodology","…semantic similarity between an LLM’s generation and an eligible set of instructions (Huang et al., 2022b), incorporating affordance functions (Ahn et al., 2022), visual feedback (Huang et al., 2022c), generating world models (Nottingham et al., 2023; Zellers et al., 2021a), planning over…,Table Data Only SayCan Data Only Full Mixture (All robots + WebLI, VQA, COCO, etc.)
0% 25%
50%
75%
100%
PaLM-E Training Data
Su cc
es s
R at
e or
A cc
ur ac
y
LLM finetune (full mixture)
LLM finetune (single robot)
without pretraining
LLM frozen (full mixture)
LLM frozen (single robot)
20% 40% 60% 80% 100%
94.9%
48.6%
42.9%
74.3%
31.8%
Figure 4: Planning success results in the TAMP environment (1% data) for PaLM-E-12B, comparing of the effects of PaLM-E models (i) using the full training mixture, (ii) pre-training (ViT and PaLM), and (iii) freezing or finetuning the language model.,As baselines, we consider the state-of-the art visual language model PaLI (Chen et al., 2022), which has not been trained on embodiment robot data, as well as the SayCan algorithm (Ahn et al., 2022), supplied with oracle affordances.,We train the model by using the runs from (Ahn et al., 2022), which contains 2912 sequences.,The SayCan baseline (Ahn et al., 2022) utilizes oracle affordance functions and has difficulties solving this environment, since affordance functions only constrain what is possible right now, but are not informative enough for the LLM to construct long-horizon plans in TAMP environments.,We largely follow the setup in Ahn et al. (2022), where the robot needs to plan a sequence of navigation and manipulation actions based on an instruction by a human.,As with the TAMP environment, neither SayCan nor zero-shot PaLI are effective, unable to solve the easiest task tested.,, 2022b), incorporating affordance functions (Ahn et al., 2022), visual feedback (Huang et al.,Previous work (Ahn et al., 2022) interfaces the output of LLMs with learned robotic policies and affordance functions to make decisions, but is limited in that the LLM itself is only provided with textual input, which is insufficient for many tasks where the geometric configuration of the scene is important.,After each step is decoded, we map them to a low-level policy as defined in Ahn et al. (2022).,Previous work (Ahn et al., 2022) interfaces the output of LLMs with learned robotic policies and affordance functions to make decisions, but is limited in that the LLM itself is only provided with textual input, which is insufficient for many tasks where the geometric configuration of the scene is…,Finally, we consider a mobile manipulation domain similar to SayCan (Ahn et al., 2022), where a robot has to solve a variety of tasks in a kitchen environment, including finding objects in drawers, picking them, and bringing them to a human.,, 2022), which has not been trained on embodiment robot data, as well as the SayCan algorithm (Ahn et al., 2022), supplied with oracle affordances."
38fe8f324d2162e63a967a9ac6648974fc4c66f3,ada81a4de88a6ce474df2e2446ad11fea480616e,True,"background,methodology","…world models (Nottingham et al., 2023; Zellers et al., 2021a), planning over graphs and maps (Shah et al., 2022; Huang et al., 2022a), visual explanations (Wang et al., 2023), program generation (Liang et al., 2022; Singh et al., 2022), or injecting information into the prompt (Zeng et al., 2022).,In addition, the model can perform, zero-shot, question and answering on temporally-annotated egocentric vision, similar to what was shown in (Zeng et al., 2022) but end-to-end all in one model.,Zero-shot CoT (Kojima et al., 2022), originally a language-only concept, has been shown on multimodal data with task-specific programs (Zeng et al., 2022) but to our knowledge, not via an end-to-end model.,, 2022), originally a language-only concept, has been shown on multimodal data with task-specific programs (Zeng et al., 2022) but to our knowledge, not via an end-to-end model.,, 2022), or injecting information into the prompt (Zeng et al., 2022).,The egocentric video images are from https://youtu.be/ -UXKmqBPk1w, as in (Zeng et al., 2022), via permission from creator Cody Wanner."
e00867c7108395d56b823bc5c75d2f4591e2878d,cdf54c147434c83a4a380916b6c1279b0ca19fc2,True,"background,methodology","Different from previous work [8] that uses LLM to extract names from a sentence, our object proposal is much more demanding in four different ways as we will discuss in Sec.,Recent progress in large language models (LLMs), has shown impressive few-shot performance in language comprehension, semantic understanding, and reasoning, as well as application to robotics problems like planning [5]–[7] and instruction following [8].,LM-Nav [8] uses three pretrained model to perform visual language navigation.,1) Infer objects from implication of the instruction: In previous work [8] that use LLM to extract object names from language, all object names are nouns that are directly present in the language input."
e00867c7108395d56b823bc5c75d2f4591e2878d,2e196c3143f8ca8401d9bb6e7510b40ea4ef4cf7,True,methodology,"Recently, methods that leverage pre-trained image-text models can do zero-shot Object Goal Navigation [31], [32].,Our work can use the representation from a single exploration for many downstream planning tasks without the need to run Object Goal Navigation every time.,Our work differs from Object Goal Navigation since the eventual goal is not purely finding objects, but using object presence and location information for planning.,Object Goal Navigation.,Though a robot can avoid building a semantic representation by finding objects each time they are required, e.g., with Object Goal Navigation [1], [2], this repeated exploration can be inefficient."
e00867c7108395d56b823bc5c75d2f4591e2878d,cb5e3f085caefd1f3d5e08637ab55d39e61234fc,True,"background,methodology","Therefore, the novel object names in this experiment are either used for navigation only, or for describing objects that are visually similar to training objects in [6].,We note that manipulation policies used in this project are still limited to be with the objects that are visually similar to training objects in [6] and rely on the generalization to slightly out-of-distribution data.,In contrast, SayCan [6] showed how value functions of learned skills can provide such a grounding through selecting options scored highly by a language model and an affordance model.,Recently LLM-based planners are more flexible [6], [7], [36] and do not require handcrafting predicates, however, they do not handle the complexity of open-vocabulary object proposal and require defining a set of objects involved in planning.,Previously, SayCan [6] presents a framework that allows robots to plan and execute in the real world following human instructions.,Recent work, SayCan [6], has shown how large language models can be applied to such problems through world-grounding affordance functions, allowing LLMs to understand what a robot can do from a state.,1) Generate executable options: Vanilla SayCan [6] provides a list of skills associated with either 1) navigation policies to hard-coded locations 2) manipulation policies (pick and place) of objects, specified by object names.,NLMap +SayCan shows comparable performance as SayCan on instructions from [6] while enabling new tasks SayCan cannot do before due to its lack of contextual grounding."
e00867c7108395d56b823bc5c75d2f4591e2878d,62516303058a1322450b58e4cd778ab873b5e531,True,background,"Recently, methods that leverage pre-trained image-text models can do zero-shot Object Goal Navigation [31], [32].,Our work can use the representation from a single exploration for many downstream planning tasks without the need to run Object Goal Navigation every time.,, with Object Goal Navigation [1], [2], this repeated exploration can be inefficient.,Our work differs from Object Goal Navigation since the eventual goal is not purely finding objects, but using object presence and location information for planning.,Object Goal Navigation.,Though a robot can avoid building a semantic representation by finding objects each time they are required, e.g., with Object Goal Navigation [1], [2], this repeated exploration can be inefficient.,A few of these algorithms construct a semantic map of the current region before planning in that region [1], [22]–[24]."
