Title,Venue,Year
Coupling Large Language Models with Logic Programming for Robust and General Reasoning from Text,ACL,2023
PaLM-E: An Embodied Multimodal Language Model,ICML,2023
ProgPrompt: Generating Situated Robot Task Plans using Large Language Models,ICRA,2022
Open-vocabulary Queryable Scene Representations for Real World Planning,ICRA,2022
Visual Language Maps for Robot Navigation,ICRA,2022
Data-Efficient Learning of Natural Language to Linear Temporal Logic Translators for Robot Task Specification,ICRA,2023
Language Models as Zero-Shot Planners: Extracting Actionable Knowledge for Embodied Agents,ICRA,2022
Code as Policies: Language Model Programs for Embodied Control,ICRA,2022
Grounding Large Language Models in Interactive Environments with Online Reinforcement Learning,ICML,2023
Do Embodied Agents Dream of Pixelated Sheep?: Embodied Decision Making using Language Guided World Modelling,ICML,2023
Grounding Language with Visual Affordances over Unstructured Data,ICRA,2022
Robotic Skill Acquisition via Instruction Augmentation with Vision-Language Models,RSS,2022
Energy-based Models are Zero-Shot Planners for Compositional Scene Rearrangement,RSS,2023
Semantically Grounded Object Matching for Robust Robotic Scene Rearrangement,ICRA,2021
Towards Open-World Interactive Disambiguation for Robotic Grasping,ICRA,2023
Guiding Pretraining in Reinforcement Learning with Large Language Models,ICML,2023
VQA-based Robotic State Recognition Optimized with Genetic Algorithm,ICRA,2023
"Programmatically Grounded, Compositionally Generalizable Robotic Manipulation",ICLR,2023
Neuro-Symbolic Procedural Planning with Commonsense Prompting,ICLR,2022
Demonstrating Large Language Models on Robots,RSS,2023
Abstract-to-Executable Trajectory Translation for One-Shot Task Generalization,ICML,2022
RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,arXiv,2023
Mapping Multi-modality Instructions to Robotic Actions with Large Language Model,arXiv,2023
Personalized Robot Assistance with Large Language Models,arXiv,2023
RT-1: Robotics Transformer for Real-World Control at Scale,arXiv,2022
Generating Situated Robot Task Plans using Large Language Models,arXiv,2022
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",arXiv,2021
Socratic Models: Composing Zero-Shot Multimodal Reasoning with Language,arXiv,2021
PIGLeT: Language Grounding Through Neuro-Symbolic Interaction in a 3D World,ACL,2021
